
Creating model.....
Creating training dataset...
Creating valid dataset...




Epoch [  1/ 20] | Iter [ 94/ 94] | Train Loss 0.0358
Epoch [  1/ 20] | Iter [  0/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [  1/ 94] | Valid Loss 0.0111
Epoch [  1/ 20] | Iter [  2/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [  3/ 94] | Valid Loss 0.0112
Epoch [  1/ 20] | Iter [  4/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [  5/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [  6/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [  7/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [  8/ 94] | Valid Loss 0.0113
Epoch [  1/ 20] | Iter [  9/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 10/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 11/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 12/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 13/ 94] | Valid Loss 0.0113
Epoch [  1/ 20] | Iter [ 14/ 94] | Valid Loss 0.0113
Epoch [  1/ 20] | Iter [ 15/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 16/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 17/ 94] | Valid Loss 0.0116
Epoch [  1/ 20] | Iter [ 18/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [ 19/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 20/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 21/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 22/ 94] | Valid Loss 0.0113
Epoch [  1/ 20] | Iter [ 23/ 94] | Valid Loss 0.0114
Epoch [  1/ 20] | Iter [ 24/ 94] | Valid Loss 0.0116
Epoch [  1/ 20] | Iter [ 25/ 94] | Valid Loss 0.0116
Epoch [  1/ 20] | Iter [ 26/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 27/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 28/ 94] | Valid Loss 0.0116
